# design artefact							
# ARTEFACT: DimAccount							
# DESCRIPTION: Account dimension table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
AccountCode	Account Code used in the transaction system (party code)	int			FALSE		FALSE
AccountKey	Account Number used in the transaction system (Party ID)	int			FALSE		FALSE
PostalAddressLine1	Postal Address Line 1	nvarchar	100		FALSE		FALSE
PostalSuburb	Postal Address Suburb	nvarchar	50		FALSE		FALSE
PostalPostcode	Postal Address Postcode	nchar	4		FALSE		FALSE
PostalState	Postal Address State	nchar	3		FALSE		FALSE
MyAccountStatus	My Account Status	nvarchar	14		FALSE		FALSE
CreationDate	Creation Date	date			FALSE		FALSE
AccountStatus	Account Status	nchar	10		FALSE		FALSE
AccountCreatedDate	AccountCreatedDate	datetime			FALSE		FALSE
AccountClosedDate	Closed date	datetime			FALSE		FALSE
CreditControlStatus	Credit Control Status of a customer	nvarchar	50		FALSE		FALSE
CreditControlCategory	CreditControlCategory	nvarchar	50		FALSE		FALSE
InvoiceDeliveryMethod	The way the invoice is delivered to a customer	nvarchar	30		FALSE		FALSE
PaymentMethod	The way of customer paying an invoice	nvarchar	20		FALSE		FALSE
