# design artefact							
# ARTEFACT: DimCustomer							
# DESCRIPTION: Customer dimension table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
CustomerKey	Customer Number used in the transaction system (Party ID)	int			TRUE		FALSE
CustomerCode	Customer Code used in the transaction system (party code)	int			TRUE		FALSE
Title	"Title, Salutation"	nchar	3		FALSE		FALSE
FirstName	First Name	nvarchar	100		FALSE		FALSE
MiddleInitial	Middle Initial(s)	nchar	10		FALSE		FALSE
LastName	Last Name	nvarchar	100		FALSE		FALSE
PartyName	Party name	nvarchar	100		FALSE		FALSE
PostalAddressLine1	Postal Address Line 1	nvarchar	100		FALSE		FALSE
PostalSuburb	Postal Address Suburb	nvarchar	50		FALSE		FALSE
PostalPostcode	Postal Address Postcode	nchar	4		FALSE		FALSE
PostalState	Postal Address State	nchar	3		FALSE		FALSE
ResidentialAddressLine1	Residential Address Line 1	nvarchar	100		FALSE		FALSE
ResidentialSuburb	Residential Address Suburb	nvarchar	50		FALSE		FALSE
ResidentialPostcode	Residential Address Postcode	nchar	4		FALSE		FALSE
ResidentialState	Residential Address State	nchar	3		FALSE		FALSE
PrimaryPhone	Primary Phone Number	nvarchar	24		FALSE		FALSE
PrimaryPhoneType	Primary Phone Type	nchar	8		FALSE		FALSE
SecondaryPhone	Secondary Phone Number	nvarchar	24		FALSE		FALSE
SecondaryPhoneType	Secondary Phone Type	nchar	8		FALSE		FALSE
MobilePhone	Mobile Phone	nchar	10		FALSE		FALSE
Email	Email	nvarchar	100		FALSE		FALSE
DateOfBirth	Date Of Birth	date			FALSE		FALSE
CustomerType	Customer Type	nchar	11		FALSE		FALSE
CustomerStatus	Customer Status	nchar	8		FALSE		FALSE
OmbudsmanComplaints	Ombudsman Complaints	nchar	3		FALSE		FALSE
CreationDate	Creation Date	date			FALSE		FALSE
JoinDate	Join Date	date			FALSE		FALSE
PrivacyPreferredStatus	Privacy Preferred Status	nvarchar	30		FALSE		FALSE
