# design artefact							
# ARTEFACT: DimOrganisation							
# DESCRIPTION: Organisation dimension table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
OrganisationId	Organisation Id	INT			FALSE		FALSE
OrganisationKey	Customer Code used in the transaction system (party code)	INT			FALSE		FALSE
OrganisationCode	Organisation Code used in the transaction system (party code)	NCHAR	10		FALSE		FALSE
Level1Code	Level 1 Code	NCHAR	10		FALSE		FALSE
Level1Name	Level 1 Name	NVARCHAR	100		FALSE		FALSE
Level1StructureName	Level 1 StructureName	NCHAR	10		FALSE		FALSE
Level2Code	Level 2 Code	NCHAR	10		FALSE		FALSE
Level2Name	Level 2 Name	NVARCHAR	100		FALSE		FALSE
Level2StructureName	Level 2 StructureName	NCHAR	10		FALSE		FALSE
Level3Code	Level 3 Code	NCHAR	10		FALSE		FALSE
Level3Name	Level 3 Name	NVARCHAR	100		FALSE		FALSE
Level3StructureName	Level 3 StructureName	NCHAR	10		FALSE		FALSE
Level4Code	Level 4 Code	NCHAR	10		FALSE		FALSE
Level4Name	Level 4 Name	NVARCHAR	100		FALSE		FALSE
Level4StructureName	Level 4 StructureName	NCHAR	10		FALSE		FALSE
Level5Code	Level 5 Code	NCHAR	10		FALSE		FALSE
Level5Name	Level 5 Name	NVARCHAR	100		FALSE		FALSE
Level5StructureName	Level 5 StructureName	NCHAR	10		FALSE		FALSE
