# design artefact							
# ARTEFACT: FactHeader							
# DESCRIPTION: Header fact table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
AccountId	Foreign key to DimAccount	int		-1	TRUE		FALSE
PostedDateId	Posted Date	int		99991231	TRUE		FALSE
IssueDateId	Issue Date	int		99991231	TRUE		FALSE
DueDateId	Due Date	int		99991231	TRUE		FALSE
HeaderType	Header Type	nchar	7		TRUE		FALSE
Invoice	Invoice	money			TRUE		FALSE
Tax	Tax	money			TRUE		FALSE
PromptPaymentDiscount	Prompt Payment Discount	money			TRUE		FALSE
PaidOnTime	PaidOnTime	nchar	3		TRUE		FALSE
Reversal	Reversal	nchar	3		FALSE		FALSE
InvoiceBatch	Invoice Batch	int			TRUE		FALSE
HeaderKey	Header Key	nvarchar	20		TRUE		FALSE
