# design artefact							
# ARTEFACT: FactSalesActivity							
# DESCRIPTION: Sales Activity fact table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
AccountId	Foreign key to DimAccount	int		-1	TRUE		FALSE
ServiceId	Foreign key to DimService	int		-1	TRUE		FALSE
ProductId	Foreign key to DimProduct	int		-1	TRUE		FALSE
PricePlanId	Foreign key to DimPricePlan	int		-1	TRUE		FALSE
RepresentativeId	Foreign key to DimRepresentative	int		-1	TRUE		FALSE
OrganisationId	Foreign key to DimOrganisation	int		-1	TRUE		FALSE
SalesActivityTypeId	Sales Activity Type ID	int		-1	TRUE		FALSE
SalesActivityDateId	Sales Activity Date	int		99991231	TRUE		FALSE
SalesActivityTime	Sales Activity Time	time			TRUE		FALSE
SalesActivityKey	Sales Activity Key	nvarchar	100		TRUE		FALSE
