# design artefact							
# ARTEFACT: FactUsagePricePlan							
# DESCRIPTION: Usage Price Plan relationship fact table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
AccountId	Foreign key to DimAccount	int		-1	TRUE		FALSE
ServiceId	Foreign key to DimService	int		-1	TRUE		FALSE
ProductId	Foreign key to DimProduct	int		-1	TRUE		FALSE
PricePlanId	Foreign key to DimPricePlan	int		-1	TRUE		FALSE
MeterRegisterId	Foreign key to DimMeterRegister	int		-1	TRUE		FALSE
ContractFRMPDateId	Contract FRMP Date	int		99991231	TRUE		FALSE
ContractTerminatedDateId	Contract Terminated Date	int		99991231	TRUE		FALSE
ContractStatus	Contract Status	nchar	10		TRUE		FALSE
UsagePricePlanStartDateId	Usage Price Plan Start Date	int		99991231	TRUE		FALSE
UsagePricePlanEndDateId	Usage Price Plan End Date	int		99991231	TRUE		FALSE
UsagePricePlanKey	Usage Price Plan relationship ID from the source system	int		-1	TRUE		FALSE
