# design artefact							
# ARTEFACT: crm_activity_source							
# DESCRIPTION: Activity Source reference table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
seq_act_source_id	seq_act_source_id	numeric	"18,0"		TRUE	TRUE	FALSE
seq_act_class_id	seq_act_class_id	numeric	"18,0"		FALSE	FALSE	FALSE
act_source_code	act_source_code	varchar	"20"		FALSE	FALSE	FALSE
act_source_desc	act_source_desc	varchar	"100"		FALSE	FALSE	FALSE
default_option	default_option	varchar	"1"		FALSE	FALSE	FALSE
active	active	char	"1"		FALSE	FALSE	FALSE
insert_datetime	insert_datetime	datetime			FALSE	FALSE	FALSE
insert_user	insert_user	varchar	"20"		FALSE	FALSE	FALSE
insert_process	insert_process	varchar	"20"		FALSE	FALSE	FALSE
update_datetime	update_datetime	datetime			FALSE	FALSE	FALSE
update_user	update_user	varchar	"20"		FALSE	FALSE	FALSE
update_process	update_process	varchar	"20"		FALSE	FALSE	FALSE
Meta_Insert_TaskExecutionInstanceId	Meta: Insert Audit ID	int			FALSE	FALSE	FALSE
Meta_LatestUpdate_TaskExecutionInstanceId	Meta: Update Audit ID	int			FALSE	FALSE	FALSE
