# design artefact							
# ARTEFACT: crm_party							
# DESCRIPTION: Party table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
Meta_ChangeFlag	Meta: Row Change flag	bit			FALSE	FALSE	FALSE
Meta_Insert_TaskExecutionInstanceId	Meta: Insert Audit ID	int			FALSE	FALSE	FALSE
Meta_LatestUpdate_TaskExecutionInstanceId	Meta: Update Audit ID	int			FALSE	FALSE	FALSE
seq_party_id	seq_party_id	numeric	"18,0"		FALSE	FALSE	FALSE
party_code	party_code	varchar	10		FALSE	FALSE	FALSE
party_name	party_name	varchar	100		FALSE	FALSE	FALSE
first_name	first_name	varchar	100		FALSE	FALSE	FALSE
last_name	last_name	varchar	100		FALSE	FALSE	FALSE
initials	initials	varchar	10		FALSE	FALSE	FALSE
title	title	varchar	10		FALSE	FALSE	FALSE
job_title	job_title	varchar	100		FALSE	FALSE	FALSE
notes	notes	varchar	max		FALSE	FALSE	FALSE
multi_lock_flag	multi_lock_flag	varchar	1		FALSE	FALSE	FALSE
phone_no	phone_no	varchar	20		FALSE	FALSE	FALSE
fax_no	fax_no	varchar	20		FALSE	FALSE	FALSE
mobile_no	mobile_no	varchar	20		FALSE	FALSE	FALSE
email_address	email_address	varchar	100		FALSE	FALSE	FALSE
web_address	web_address	varchar	100		FALSE	FALSE	FALSE
street_addr_no	street_addr_no	varchar	20		FALSE	FALSE	FALSE
street_addr_1	street_addr_1	varchar	100		FALSE	FALSE	FALSE
street_addr_2	street_addr_2	varchar	100		FALSE	FALSE	FALSE
street_addr_3	street_addr_3	varchar	100		FALSE	FALSE	FALSE
street_addr_4	street_addr_4	varchar	100		FALSE	FALSE	FALSE
street_addr_5	street_addr_5	varchar	100		FALSE	FALSE	FALSE
street_post_code	street_post_code	varchar	10		FALSE	FALSE	FALSE
postal_addr_1	postal_addr_1	varchar	100		FALSE	FALSE	FALSE
postal_addr_2	postal_addr_2	varchar	100		FALSE	FALSE	FALSE
postal_addr_3	postal_addr_3	varchar	100		FALSE	FALSE	FALSE
postal_addr_4	postal_addr_4	varchar	100		FALSE	FALSE	FALSE
postal_addr_5	postal_addr_5	varchar	100		FALSE	FALSE	FALSE
postal_post_code	postal_post_code	varchar	10		FALSE	FALSE	FALSE
active	active	varchar	1		FALSE	FALSE	FALSE
insert_datetime	insert_datetime	datetime			FALSE	FALSE	FALSE
insert_user	insert_user	varchar	20		FALSE	FALSE	FALSE
insert_process	insert_process	varchar	20		FALSE	FALSE	FALSE
update_datetime	update_datetime	datetime			FALSE	FALSE	FALSE
update_user	update_user	varchar	20		FALSE	FALSE	FALSE
update_process	update_process	varchar	20		FALSE	FALSE	FALSE
seq_role_id	seq_role_id	numeric	"18,0"		FALSE	FALSE	FALSE
home_phone_no	home_phone_no	varchar	20		FALSE	FALSE	FALSE
std_code	std_code	varchar	4		FALSE	FALSE	FALSE
user_defined_1	user_defined_1	varchar	100		FALSE	FALSE	FALSE
user_defined_2	user_defined_2	varchar	100		FALSE	FALSE	FALSE
user_defined_3	user_defined_3	varchar	100		FALSE	FALSE	FALSE
user_defined_4	user_defined_4	varchar	100		FALSE	FALSE	FALSE
user_defined_5	user_defined_5	varchar	100		FALSE	FALSE	FALSE
date_of_birth	date_of_birth	datetime			FALSE	FALSE	FALSE
drivers_licence	drivers_licence	varchar	50		FALSE	FALSE	FALSE
dlisence_expiry_date	dlisence_expiry_date	datetime			FALSE	FALSE	FALSE
cust_id_type1	cust_id_type1	varchar	10		FALSE	FALSE	FALSE
cust_id_code1	cust_id_code1	varchar	30		FALSE	FALSE	FALSE
cust_id_expiry1	cust_id_expiry1	datetime			FALSE	FALSE	FALSE
cust_id_type2	cust_id_type2	varchar	20		FALSE	FALSE	FALSE
cust_id_code2	cust_id_code2	varchar	30		FALSE	FALSE	FALSE
cust_id_expiry2	cust_id_expiry2	datetime			FALSE	FALSE	FALSE
logon_date	logon_date	datetime			FALSE	FALSE	FALSE
commn_sales_type_id	commn_sales_type_id	numeric	"18,0"		FALSE	FALSE	FALSE
commn_team_leader_id	commn_team_leader_id	numeric	"18,0"		FALSE	FALSE	FALSE
max_call	max_call	numeric	"18,0"		FALSE	FALSE	FALSE
postal_addr_no	postal_addr_no	varchar	20		FALSE	FALSE	FALSE
postal_addr_name	postal_addr_name	varchar	100		FALSE	FALSE	FALSE
postal_addr_6	postal_addr_6	varchar	100		FALSE	FALSE	FALSE
