# design artefact							
# ARTEFACT: inv_invoice_header							
# DESCRIPTION: Invoice Header table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
Meta_ChangeFlag	Meta: Row Change flag	bit			FALSE	FALSE	FALSE
Meta_Insert_TaskExecutionInstanceId	Meta: Insert Audit ID	int			FALSE	FALSE	FALSE
Meta_LatestUpdate_TaskExecutionInstanceId	Meta: Update Audit ID	int			FALSE	FALSE	FALSE
seq_invoice_header_id	seq_invoice_header_id	numeric	"18, 0"		TRUE	TRUE	FALSE
seq_message_id	seq_message_id	numeric	"18, 0"		FALSE	FALSE	FALSE
seq_form_id	seq_form_id	numeric	"18, 0"		FALSE	FALSE	FALSE
seq_party_id	seq_party_id	numeric	"18, 0"		FALSE	FALSE	FALSE
contact_party_id	contact_party_id	numeric	"18, 0"		FALSE	FALSE	FALSE
seq_invoice_run_id	seq_invoice_run_id	numeric	"18, 0"		FALSE	FALSE	FALSE
seq_doc_id	seq_doc_id	numeric	"18, 0"		FALSE	FALSE	FALSE
seq_merge_id	seq_merge_id	numeric	"18, 0"		FALSE	FALSE	FALSE
seq_deliver_class_id	seq_deliver_class_id	numeric	"18, 0"		FALSE	FALSE	FALSE
invoice_reference	invoice_reference	varchar	40		FALSE	FALSE	FALSE
invoice_amount	invoice_amount	money			FALSE	FALSE	FALSE
tax_amount	tax_amount	money			FALSE	FALSE	FALSE
prompt_payment_disc	prompt_payment_disc	money			FALSE	FALSE	FALSE
opening_balance	opening_balance	money			FALSE	FALSE	FALSE
transaction_total	transaction_total	money			FALSE	FALSE	FALSE
any_text1	any_text1	varchar	100		FALSE	FALSE	FALSE
any_num1	any_num1	money			FALSE	FALSE	FALSE
any_text2	any_text2	varchar	100		FALSE	FALSE	FALSE
any_num2	any_num2	money			FALSE	FALSE	FALSE
any_text3	any_text3	varchar	100		FALSE	FALSE	FALSE
any_num3	any_num3	money			FALSE	FALSE	FALSE
any_text4	any_text4	varchar	100		FALSE	FALSE	FALSE
any_num4	any_num4	money			FALSE	FALSE	FALSE
exported	exported	varchar	1		FALSE	FALSE	FALSE
active	active	char	1		FALSE	FALSE	FALSE
insert_datetime	insert_datetime	datetime			FALSE	FALSE	FALSE
insert_user	insert_user	varchar	20		FALSE	FALSE	FALSE
insert_process	insert_process	varchar	20		FALSE	FALSE	FALSE
update_datetime	update_datetime	datetime			FALSE	FALSE	FALSE
update_user	update_user	varchar	20		FALSE	FALSE	FALSE
update_process	update_process	varchar	20		FALSE	FALSE	FALSE
no_of_pages	no_of_pages	int			FALSE	FALSE	FALSE
reversal	reversal	varchar	1		FALSE	FALSE	FALSE
invoice_date	invoice_date	datetime			FALSE	FALSE	FALSE
inv_due_date	inv_due_date	datetime			FALSE	FALSE	FALSE
inv_direct_debit_date	inv_direct_debit_date	datetime			FALSE	FALSE	FALSE
concession_amount	concession_amount	money			FALSE	FALSE	FALSE
give_concession	give_concession	varchar	1		FALSE	FALSE	FALSE
emailed_invoice	emailed_invoice	varchar	1		FALSE	FALSE	FALSE
non_rebate_net_amount	non_rebate_net_amount	money			FALSE	FALSE	FALSE
reversal_seq_invoice_header_id	reversal_seq_invoice_header_id	numeric	"18, 0"		FALSE	FALSE	FALSE
cust_invoice_count	cust_invoice_count	numeric	"6, 0"		FALSE	FALSE	FALSE
pp_message	pp_message	varchar	1		FALSE	FALSE	FALSE
inv_tou	inv_tou	varchar	1		FALSE	FALSE	FALSE
inv_power	inv_power	varchar	1		FALSE	FALSE	FALSE
inv_gas	inv_gas	varchar	1		FALSE	FALSE	FALSE
inv_isp	inv_isp	varchar	1		FALSE	FALSE	FALSE
inv_telco	inv_telco	varchar	1		FALSE	FALSE	FALSE
inv_water	inv_water	varchar	1		FALSE	FALSE	FALSE
inv_mobile	inv_mobile	varchar	1		FALSE	FALSE	FALSE
bill_type_message	bill_type_message	varchar	50		FALSE	FALSE	FALSE
concession_flag	concession_flag	varchar	1		FALSE	FALSE	FALSE
deliver_method_code	deliver_method_code	varchar	10		FALSE	FALSE	FALSE
green_energy	green_energy	varchar	1		FALSE	FALSE	FALSE
show_green_logo	show_green_logo	varchar	1		FALSE	FALSE	FALSE
show_green_graph	show_green_graph	varchar	1		FALSE	FALSE	FALSE
green_percent	green_percent	numeric	"18, 2"		FALSE	FALSE	FALSE
adjustment_total	adjustment_total	numeric	"10, 2"		FALSE	FALSE	FALSE
