# design artefact							
# ARTEFACT: nc_product							
# DESCRIPTION: Products held table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
Meta_ChangeFlag	Meta: Row Change flag	bit			FALSE	FALSE	FALSE
Meta_Insert_TaskExecutionInstanceId	Meta: Insert Audit ID	int			FALSE	FALSE	FALSE
Meta_LatestUpdate_TaskExecutionInstanceId	Meta: Update Audit ID	int			FALSE	FALSE	FALSE
seq_party_id	seq_party_id	numeric	"18,0"		FALSE	FALSE	FALSE
active	active	varchar	1		FALSE	FALSE	FALSE
insert_datetime	insert_datetime	datetime			FALSE	FALSE	FALSE
insert_user	insert_user	varchar	20		FALSE	FALSE	FALSE
insert_process	insert_process	varchar	20		FALSE	FALSE	FALSE
update_datetime	update_datetime	datetime			FALSE	FALSE	FALSE
update_user	update_user	varchar	20		FALSE	FALSE	FALSE
update_process	update_process	varchar	20		FALSE	FALSE	FALSE
seq_pcms_int_status_id	seq_pcms_int_status_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_product_id	seq_product_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_product_type_id	seq_product_type_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_product_status_id	seq_product_status_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_prev_provider_id	seq_prev_provider_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_app_stage_id	seq_app_stage_id	numeric	"18,0"		FALSE	FALSE	FALSE
date_connected	date_connected	datetime			FALSE	FALSE	FALSE
application_entered	application_entered	datetime			FALSE	FALSE	FALSE
sales_complete	sales_complete	datetime			FALSE	FALSE	FALSE
est_monthly_spend	est_monthly_spend	money			FALSE	FALSE	FALSE
connect_comm_paid	connect_comm_paid	varchar	1		FALSE	FALSE	FALSE
connect_comm_date	connect_comm_date	datetime			FALSE	FALSE	FALSE
application_recieved	application_recieved	datetime			FALSE	FALSE	FALSE
voice_ver_date	voice_ver_date	datetime			FALSE	FALSE	FALSE
voice_ver_extn	voice_ver_extn	varchar	50		FALSE	FALSE	FALSE
years_in_site	years_in_site	varchar	10		FALSE	FALSE	FALSE
multisite	multisite	varchar	1		FALSE	FALSE	FALSE
sales_batch_num	sales_batch_num	varchar	20		FALSE	FALSE	FALSE
external_reference	external_reference	varchar	50		FALSE	FALSE	FALSE
