# design artefact							
# ARTEFACT: nc_product_item							
# DESCRIPTION: Account status table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
MetaChangeFlag	Meta: Row Change flag	bit			FALSE	FALSE	FALSE
MetaLatestAuditId	Meta: Audit ID	int			FALSE	FALSE	FALSE
active	active	varchar	1		FALSE	FALSE	FALSE
insert_datetime	insert_datetime	datetime			FALSE	FALSE	FALSE
insert_user	insert_user	varchar	20		FALSE	FALSE	FALSE
insert_process	insert_process	varchar	20		FALSE	FALSE	FALSE
update_datetime	update_datetime	datetime			FALSE	FALSE	FALSE
update_user	update_user	varchar	20		FALSE	FALSE	FALSE
update_process	update_process	varchar	20		FALSE	FALSE	FALSE
seq_pcms_int_status_id	seq_pcms_int_status_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_product_id	seq_product_id	numeric	"18,0"		FALSE	FALSE	FALSE
date_connected	date_connected	datetime			FALSE	FALSE	FALSE
seq_product_item_id	seq_product_item_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_price_plan_id	seq_price_plan_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_pp_compare1_id	seq_pp_compare1_id	numeric	"18,0"		FALSE	FALSE	FALSE
seq_pp_compare2_id	seq_pp_compare2_id	numeric	"18,0"		FALSE	FALSE	FALSE
site_id	site_id	numeric	"18,0"		FALSE	FALSE	FALSE
contract_term_id	contract_term_id	numeric	"18,0"		FALSE	FALSE	FALSE
accnt_status_id	accnt_status_id	numeric	"18,0"		FALSE	FALSE	FALSE
product_identifier	product_identifier	varchar	50		FALSE	FALSE	FALSE
date_terminated	date_terminated	datetime			FALSE	FALSE	FALSE
date_responsibility_end	date_responsibility_end	datetime			FALSE	FALSE	FALSE
contract_start_date	contract_start_date	datetime			FALSE	FALSE	FALSE
contract_end_date	contract_end_date	datetime			FALSE	FALSE	FALSE
billed_to_date	billed_to_date	datetime			FALSE	FALSE	FALSE
commission_paid	commission_paid	varchar	1		FALSE	FALSE	FALSE
accnt_status_date	accnt_status_date	datetime			FALSE	FALSE	FALSE
closed_reason_id	closed_reason_id	numeric	"18,0"		FALSE	FALSE	FALSE
switch_reason_id	switch_reason_id	numeric	"18,0"		FALSE	FALSE	FALSE
