# design artefact							
# ARTEFACT: utl_accnt_meter_price_plan							
# DESCRIPTION: Relationship table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
accnt_meter_price_plan_id 	accnt_meter_price_plan_id 	numeric	"18, 0"		FALSE	TRUE	FALSE
seq_product_item_id 	seq_product_item_id 	numeric	"18, 0"		FALSE	FALSE	FALSE
meter_id 	meter_id 	numeric	"18, 0"		FALSE	FALSE	FALSE
meter_pp_type_id 	meter_pp_type_id 	numeric	"18, 0"		FALSE	FALSE	FALSE
start_date 	start_date 	datetime			FALSE	FALSE	FALSE
end_date 	end_date 	datetime			FALSE	FALSE	FALSE
pp_simple_sched_id 	pp_simple_sched_id 	numeric	"18, 0"		FALSE	FALSE	FALSE
active 	active 	varchar	1		FALSE	FALSE	FALSE
insert_datetime 	insert_datetime 	datetime			FALSE	FALSE	FALSE
insert_user 	insert_user 	varchar	50		FALSE	FALSE	FALSE
insert_process 	insert_process 	varchar	20		FALSE	FALSE	FALSE
update_datetime 	update_datetime 	datetime			FALSE	FALSE	FALSE
update_user 	update_user 	varchar	50		FALSE	FALSE	FALSE
update_process 	update_process 	varchar	20		FALSE	FALSE	FALSE
pp_cost_simple_sched_id 	pp_cost_simple_sched_id 	numeric	"18, 0"		FALSE	FALSE	FALSE
Meta_Insert_TaskExecutionInstanceId	Meta: Insert Audit ID	int			FALSE	FALSE	FALSE
Meta_LatestUpdate_TaskExecutionInstanceId	Meta: Update Audit ID	int			FALSE	FALSE	FALSE
