# design artefact							
# ARTEFACT: utl_read_type							
# DESCRIPTION: Read Type reference table from Orion							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
read_type_id 	read_type_id 	numeric	"18, 0"		FALSE	FALSE	FALSE
read_type_code 	read_type_code 	varchar	10		FALSE	FALSE	FALSE
read_type_desc 	read_type_desc 	varchar	100		FALSE	FALSE	FALSE
active 	active 	char	1		FALSE	FALSE	FALSE
insert_datetime 	insert_datetime 	datetime			FALSE	FALSE	FALSE
insert_user 	insert_user 	varchar	20		FALSE	FALSE	FALSE
insert_process 	insert_process 	varchar	20		FALSE	FALSE	FALSE
update_datetime 	update_datetime 	datetime			FALSE	FALSE	FALSE
update_user 	update_user 	varchar	20		FALSE	FALSE	FALSE
update_process 	update_process 	varchar	20		FALSE	FALSE	FALSE
Meta_Insert_TaskExecutionInstanceId 	Meta_Insert_TaskExecutionInstanceId 	int			FALSE	FALSE	FALSE
Meta_LatestUpdate_TaskExecutionInstanceId 	Meta_LatestUpdate_TaskExecutionInstanceId 	int			FALSE	FALSE	FALSE
