# design artefact				
# ARTEFACT: TRANSFORM_DimMeterRegister				
# DESCRIPTION: Promote meter registers from Orion tables to DataStore 				
SOURCE_FUNCTION_PREFIX	SOURCE	SOURCE_FUNCTION_SUFFIX	DESTINATION	DESCRIPTION
CAST(	utl_meter.meter_id	AS int)	DimMeterRegister.MeterRegisterKey	One to one mapping with int cast
CAST(COALESCE(	utl_meter_header.meter_serial	", utl_meter.market_meter_code, utl_meter_header.meter_code, utl_meter.meter_code) AS nvarchar(50))"	DimMeterRegister.MeterMarketSerialNumber	One to one mapping with coalesce and nvarchar cast
CAST(	utl_meter.meter_code	AS nvarchar(50))	DimMeterRegister.MeterSystemSerialNumber	One to one mapping with nvarchar cast
CAST(CASE	utl_meter_class.seq_product_type_id	WHEN '1' THEN 'Internet' WHEN '2' THEN 'Electricity' WHEN '3' THEN 'Gas' WHEN '7' THEN 'Telco' ELSE NULL END AS nvarchar(11))	DimMeterRegister.MeterServiceType	Lookup with nvarchar cast
CAST(	utl_meter_type.meter_type_desc	AS nvarchar(100))	DimMeterRegister.RegisterBillingType	One to one mapping
CAST(	utl_meter_type.meter_type_code	AS nchar(10))	DimMeterRegister.RegisterBillingTypeCode	One to one mapping
CAST(	utl_meter_class.meter_class_desc	AS nvarchar(40))	DimMeterRegister.RegisterClass	One to one mapping
	utl_meter.insert_datetime		DimMeterRegister.RegisterCreationDate	One to one mapping
	utl_meter.est_daily_consumption		DimMeterRegister.RegisterEstimatedDailyConsumption	One to one mapping
CAST(COALESCE(	utl_meter.market_meter_register	", utl_meter.meter_register) AS nchar(10))"	DimMeterRegister.RegisterMarketIdentifier	One to one mapping
CAST(	utl_meter.meter_register	AS nchar(10))	DimMeterRegister.RegisterSystemIdentifer	One to one mapping
	utl_meter.multiplier		DimMeterRegister.RegisterMultiplier	One to one mapping
CAST(	utl_meter.network_tariff_code	AS nvarchar(20))	DimMeterRegister.RegisterNetworkTariffCode	One to one mapping
CAST(CASE	utl_meter.direction_ind	WHEN 'E' THEN 'Export' WHEN 'I' THEN 'Import' ELSE NULL END AS nchar(6))	DimMeterRegister.RegisterReadDirection	One to one mapping
CAST(CASE	utl_meter.meter_status_id	WHEN 1 THEN 'Active' WHEN 2 THEN 'Inactive' ELSE NULL END AS nchar(8))	DimMeterRegister.RegisterStatus	One to one mapping
	utl_meter.vm_start_date		DimMeterRegister.RegisterVirtualStartDate	One to one mapping
CAST(CASE WHEN	utl_virtual_meter_type.virtual_meter_type_desc	"IS NULL THEN 'Physical' ELSE CONCAT('Virtual - ', utl_virtual_meter_type.virtual_meter_type_desc) END AS nvarchar(20))"	DimMeterRegister.RegisterVirtualType	One to one mapping
SELECTION_CRITERIA	FROM [schema].utl_meter LEFT JOIN [schema].utl_meter_header ON utl_meter_header.meter_header_id = utl_meter.meter_header_id INNER JOIN [schema].utl_meter_type ON utl_meter_type.meter_type_id = utl_meter.meter_type_id INNER JOIN [schema].utl_meter_class ON utl_meter_class.meter_class_id = utl_meter_type.meter_class_id LEFT JOIN [schema].utl_virtual_meter_type ON utl_virtual_meter_type.virtual_meter_type_id = utl_meter.virtual_meter_type_id  WHERE (utl_meter.Meta_LatestUpdate_TaskExecutionInstanceId > @LatestSuccessfulTaskExecutionInstanceID OR utl_meter_header.Meta_LatestUpdate_TaskExecutionInstanceId > @LatestSuccessfulTaskExecutionInstanceID OR utl_meter_type.Meta_LatestUpdate_TaskExecutionInstanceId > @LatestSuccessfulTaskExecutionInstanceID OR utl_meter_type.Meta_LatestUpdate_TaskExecutionInstanceId > @LatestSuccessfulTaskExecutionInstanceID OR utl_virtual_meter_type.Meta_LatestUpdate_TaskExecutionInstanceId > @LatestSuccessfulTaskExecutionInstanceID)			
